personLabel	aliasLabel
Bhimrao Ramji Ambedkar	BR Ambedkar	True
Bhimrao Ramji Ambedkar	Dalits Icon	True
Bhimrao Ramji Ambedkar	Dr BR Ambedkar	True
Bhimrao Ramji Ambedkar	Dr. B. R. Ambedkar	True
Bhimrao Ramji Ambedkar	Dr. Babasaheb Ambedkar	True
Bhimrao Ramji Ambedkar	Dr. Bhimrao Ambedkar	True
Bhimrao Ramji Ambedkar	Dr. Bhimrao Ramji Ambedkar	True
Maria Christina of the Two Sicilies	Doña María Cristina de Borbón	True
Maria Christina of the Two Sicilies	María Cristina de, Reina de España Borbón	True
Maria Christina of the Two Sicilies	Maria Cristina Ferdinanda de Borbon	True
Maria Christina of the Two Sicilies	María Cristina Ferdinanda de Borbón	True
Maria Christina of the Two Sicilies	Maria Cristina Ferdinanda de Bourbon	True
Maria Christina of the Two Sicilies	María Cristina Ferdinanda de Bourbon	True
Maria Christina of the Two Sicilies	Marie Christine de Bourbon	True
Maria Christina of the Two Sicilies	Marie Christine Ferdinande	True
Maria Christina of the Two Sicilies	princesa de las Dos Sicilias Maria Cristina de Borbon	True
Maria Christina of the Two Sicilies	princesa de las Dos Sicilias María Cristina de Borbón	True
Maria Christina of the Two Sicilies	principessa delle Due Sicilie Maria Cristina Ferdinanda di Borbone	True
Maria Christina of the Two Sicilies	Queen of Spain Maria Cristina de Bourbon	True
Maria Christina of the Two Sicilies	Queen of Spain María Cristina de Bourbon	True
Maria Christina of the Two Sicilies	Reine d'Espagne Marie Christine Ferdinande	True
Ivan II of Moscow	Ivan II	True
Ángel de Saavedra, 3rd Duke of Rivas	Duque de Rivas, Angel de Saavedra	True
Irina Bokova	Irina Georgieva Bokova	True
Irina Bokova	Irina Gueorguieva Bokova	True
Nadhim Zahawi	Nadim Zehawi	True
Nadhim Zahawi	Nadim Zehawî	True
Nadine Dorries	Nadine Bargery	True
Nadine Dorries	Nadine Vanessa Dorries	True
Georgi Dimitrov	Georgi Dimitrov Mihaylov	True
Georgi Dimitrov	Georgi Dimitrov Mikhailov	True
Hubert Humphrey	Hubert H. Humphrey	True
Hubert Humphrey	Hubert Horatio Humphrey	True
Charles G. Dawes	Charles Dawes	True
Ivan II of Moscow	Ivan II Ivanovich the Fair	True
Juan Alberto Belloch	Juan Alberto Belloch Julbe	True
David Amess	Sir David Anthony Andrew Amess	True
David Amess	Sir David Antony Andrew Amess	True
Graham Allen	Graham William Allen	True
Ivan Mikhailovich Obolensky	Ivan Mihajlovitj Obolenskij	True
Stuart Andrew	Stuart James Andrew	True
Maria Miloslavskaya	Maria Ilyinichna Miloslavskaya	True
Bernard Jauréguiberry	Bernard Jaureguiberry	True
Bernard Jauréguiberry	Jean Bernard Jaureguiberry	True
Bernard Jauréguiberry	Jean Bernard Jauréguiberry	True
Willem van Heeckeren van Kell	Willem baron van Heeckeren van Kell	True
Edda Mussolini	Edda Ciano	True
Sergo Ordzhonikidze	Gregory Ordzhonikidze	True
Sergo Ordzhonikidze	Grigol Konstantines dze Ordzhonikidze	True
Sergo Ordzhonikidze	Grigory Ordzhonikidze	True
Sergo Ordzhonikidze	Sergo Konstantinovich Ordzhonikidze	True
Tim Yeo	Timothy Stephen Kenneth Yeo	True
George Young	George Samuel Knatchbull Young, Baron Young of Cookham	True
George Young	George Young, Baron Young of Cookham	True
George Young	Sir George Samuel Knatchbull Young, 6th Baronet	True
Norman Baker	Norman John Baker	True
Adolphe Crémieux	Isaac Jacob Crémieux	True
Phil Murphy	Philip D. Murphy	True
Phil Murphy	Philip Dunton Murphy	True
Valery Bukhvalov	Valērijs Buhvalovs	True
Valery Bukhvalov	Valery Alekseevich Bukhvalov	True
George Young	Sir George Young	True
Ian Austin	Ian Christopher Austin	True
Edda Mussolini	Edda Ciano Mussolini	True
Lin Tse-hsu	Lin Zexu	True
Lin Tse-hsu	Shaomu	True
Lin Tse-hsu	Sicunlaoren	True
Lin Tse-hsu	Sicuntuisou	True
Lin Tse-hsu	Yunzuoshanfang	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia of Naples and Sicily	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia of Naples and Sicily, The Duchess of Orléans	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia of the Two Sicilies	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia of the Two Sicilies, The Duchess of Orléans	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia Teresa of Naples and Sicily	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia Teresa of Naples and Sicily, The Duchess of Orléans	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia Teresa of the Two Sicilies	True
Maria Amalia of Naples and Sicily	Princess Maria Amalia Teresa of the Two Sicilies, The Duchess of Orléans	True
Barbara Franklin	Barbara Ann Hackman	True
Barbara Franklin	Barbara Hackman	True
Barbara Franklin	Barbara Hackman Franklin	True
Slavoj Žižek	Zizek	True
Slavoj Žižek	Slavoj Zizek	True
Ruth Rendell	Barbara Vine	True
Ruth Rendell	Baroness Rendell of Babergh	True
Ruth Rendell	Ruth Barbara Grasemann	True
Ruth Rendell	Ruth Barbara Rendell	True
Ruth Rendell	Ruth Grasemann	True
Edward, the Black Prince	Black Prince	True
George Young	Sir George Young, 6th Baronet	True
Princess Alice of the United Kingdom	Princess Alice	True
Princess Alice of the United Kingdom	Alice Maud Mary	True
Princess Alice of the United Kingdom	Alice, Grand Duchess of Hesse and by Rhine	True
Princess Alice of the United Kingdom	HRH The Princess Alice	True
Princess Alice of the United Kingdom	Princess Alice Maud Mary	True
Princess Alice of the United Kingdom	Princess Alice Maud Mary of the United Kingdom	True
Princess Alice of the United Kingdom	Princess Alice, Grand Duchess of Hesse and by Rhine	True
Princess Alice of the United Kingdom	The Princess Alice	True
Edward, the Black Prince	Edward of Woodstock	True
Edward, the Black Prince	Edward the Black Prince	True
Edward, the Black Prince	the Black Prince	True
Rainier III, Prince of Mónaco	Príncipe Rainiero de Mónaco	True
Rainier III, Prince of Mónaco	Rainier III	True
Rainier III, Prince of Mónaco	Rainiero III	True
Rainier III, Prince of Mónaco	Rainiero Louis Henri Maxence Bertrand Grimaldi	True
Rainier III, Prince of Mónaco	Rainiero, príncipe hereditario de Mónaco	True
Haagen Ludvig Bergh	Haagen Bergh	True
Charles Elliot	Adm. Sir Charles Elliot	True
Charles Elliot	Sir Charles Elliot	True
Charles Elliot	Эллиот, Чарльз Джилберт Джон Брайдон	True
Joan the Lame	Jeanne de Bourgogne	True
Joan the Lame	Jeanne of Burgundy	True
Joan the Lame	Joan of Burgundy	True
Joan the Lame	Joanna of Burgundy	True
Joan of Navarre	Jeanne de Navarre	True
Rita Levi-Montalcini	Rita Levi Montalcini	True
Eugène de Beauharnais	Beauharnais	True
Hastings Banda	Hastings Kamuzu Banda	True
Eugène de Beauharnais	Boharnais	True
Eugène de Beauharnais	Eugen Beauharnais Leuchtenberg	True
Eugène de Beauharnais	Eugene Beauharnais	True
Eugène de Beauharnais	Eugene de Beauharnais	True
Eugène de Beauharnais	Eugène de Beauharnais, Herzog von Leuchtenberg	True
Eugène de Beauharnais	Herzog von Leuchtenberg Eugène de Beauharnais	True
Gyula Horn	Horn Gyula	True
Linda Lingle	Linda Cutter	True
Eddard Stark	"Eddard ""Ned"" Stark"	True
Eddard Stark	Lord Eddard Stark	True
Eddard Stark	Lord Ned Stark	True
Eddard Stark	Ned Stark	True
Rita Levi-Montalcini	Levi-Montalcini	True
Rita Levi-Montalcini	R Levi-Montalcini	True
Rita Levi-Montalcini	R. Levi-Montalcini	True
Lin Tse-hsu	Wenzhong	True
Lin Tse-hsu	Yuanfu	True
Lin Tse-hsu	Shilin	True
Andrey Vyshinsky	Andrei Yanuaryevich Vyshinsky	True
Andrey Vyshinsky	Andrey Yanuaryevich Vyshinsky	True
Ivan Konev	Ivan Stepanovich Konev	True
David L. Cornwell	David Lance Cornwell	True
Oluf Steen Julius Berner	Oluf Berner	True
Joseph Lister, 1st Baron Lister	Joseph Lister	True
Lawrence Eagleburger	Lawrence Sidney Eagleburger	True
Artemisia I of Caria	Artemisia I	True
Al-Qa'im	Abū Bakr al-Qā’im	True
Al-Qa'im	Ḥamza b. al-Mutawakkil I	True
Joseph Lister, 1st Baron Lister	Lord Lister	True
J. Edgar Hoover	John Edgar Hoover	True
Malam Bacai Sanhá	Malam Bacai Sanha	True
Marie Louise Gonzaga	Luise Marie de Gonzaga	True
Richard Holbrooke	Richard Charles Albert Holbrooke	True
Miguel de Unamuno	Miguel de Unamuno y Jugo	True
Miguel de Unamuno	Miguel Unamuno	True
Empress Jingu	Empress Jingū	True
Inês de Medeiros	Ines de Medeiros	True
Inês de Medeiros	Ines de Saint-Maurice Esteves de Medeiros Victorino de Almeida	True
Inês de Medeiros	Inês de Saint-Maurice Esteves de Medeiros Victorino de Almeida	True
Joseph Lister, 1st Baron Lister	Joseph, Lord Lister	True
Joseph Lister, 1st Baron Lister	Lord Joseph Lister	True
Alexis FitzGerald, Snr	Alexis James Oliver FitzGerald	True
Louis-Alexandre Berthier	Alexandre Berthier	True
Caiaphas	Caifus	True
Caiaphas	Joseph ben Caiaphas	True
Caiaphas	Kaiphaso	True
Al-Musta'sim	Abū Yaḥyā al-Mu‘taṣim	True
Gabriela Szabo	Gabriella Szabó	True
Igor Kurchatov	Barada	True
Steve Baker	Steven John Baker	True
Vasily II of Moscow	Basilio II el Ciego	True
Vasily II of Moscow	Vasily Vasiliyevich	True
Julia Soaemias	Julia Soaemias Bassiana	True
Sergio Ortega	Sergio Ortega Alvarado	True
Kaʻahumanu	Kaahumanu	True
Alexander Menshikov	Alexander Danilovich Menshikov	True
Alexander Menshikov	Alexander Danilovitch Menschikoff	True
Artemisia I of Caria	Artemisia	True
Charles IV	Charles of Luxembourg	True
Charles IV	Holy Roman Emperor Charles IV	True
Charles IV	Holy Roman Emperor Karl IV	True
Charles IV	Karl IV.	True
Charles IV	Karl von Luxemburg	True
Hamilcar Barca	Hamilcar Barcas	True
Rick Santorum	"Richard John ""Rick"" Santorum"	True
Rick Santorum	Richard John Santorum	True
Igor Kurchatov	I. V. Kurchatov	True
Igor Kurchatov	Igor Vasil’evich Kurchatov	True
Igor Kurchatov	Igor Vasilyevich Kurchatov	True
Léon Moutrier	Leon Moutrier	True
Won Sei-hoon	Won Se-hoon	True
Alexei Navalny	Aleksey Navalnyy	True
Alexei Navalny	Alexei Anatolyevich Navalny	True
Alexei Navalny	Alexey Navalny	True
Gustav Krupp von Bohlen und Halbach	Gustav Georg Friedrich Maria Krupp von Bohlen und Halbach	True
Sarvepalli Radhakrishnan	Sarvepalli Radhakrishna	True
Florence Harding	Florence Kling	True
Florence Harding	Florence Kling Harding	True
Florence Harding	"Florence Mabel ""Flossie"" Kling Harding"	True
Florence Harding	Florence Mabel Harding	True
Florence Harding	Florence Mabel Kling	True
Ed Balls	Edward Michael Balls	True
Vasyl Kochubey	Vasily Leontiyevich Kochubey	True
Vasyl Kochubey	Vasily Leontyevich Kochubey	True
Vasyl Kochubey	Vasyl Kochubei	True
Vasyl Kochubey	Vasyl Leontiyovych Kochubey	True
Vasyl Kochubey	Vasyl Leontiyovych Kotchoubey	True
Vasyl Kochubey	Vasyliy Leontiyovych Kochubey	True
Lyudmila Ocheretnaya	Lyudmila Aleksandrovna Ocheretnaya	True
Lyudmila Ocheretnaya	Lyudmila Aleksandrovna Putina	True
Lyudmila Ocheretnaya	Lyudmila Putina	True
Eleanor of Austria	Claude of France	True
Mirek Topolánek	Mirek Topolanek	True
Brian Cowen	Brian Bernard Cowen	True
Anatoly Logunov	Anatoly Alekseyevich Logunov	True
Catalina Micaela of Spain	Caterina Micaela of Spain	True
Catalina Micaela of Spain	Caterina Michella of Spain	True
Catalina Micaela of Spain	Catherine Michelle of Spain	True
Catalina Micaela of Spain	Infanta Catalina Micaela of Spain	True
Catalina Micaela of Spain	Infanta Catherine Michelle of Spain	True
Albert the Bear	Albrecht I 'the Bear' Markgraf von Brandenburg	True
Nicolas Oudinot	Nicolas Charles Oudinot	True
Nicolas Oudinot	Nicolas Charles Oudinot, Duke of Reggio	True
Nicolas Oudinot	Nicolas-Charles Oudinot	True
Nicolas Oudinot	Oudinot, Duke of Reggio	True
René Cassin	Rene Cassin	True
René Cassin	Rene-Samuel Cassin	True
René Cassin	René-Samuel Cassin	True
Emil Hácha	Emil Hacha	True
Antonio Saca	"Elías Antonio ""Tony"" Saca González"	True
Antonio Saca	Elias Antonio Saca Gonzalez	True
Antonio Saca	Elías Antonio Saca González	True
Antonio Saca	Tony Saca	True
Princess Maria Annunciata of Bourbon-Two Sicilies	Princess Maria Annunciata Isabella Filomena Sabasia of Bourbon-Two Sicilies	True
Julia Grant	Julia Boggs Dent	True
Julia Grant	Julia Boggs Grant	True
Julia Grant	Julia Dent	True
Georgios Papadopoulos	Geórgios Papadópulos	True
Atal Bihari Vajpayee	Ab Vajpayee	True
Atal Bihari Vajpayee	Atalji	True
Atal Bihari Vajpayee	Vajpayeeji	True
Jeremy Wright	Jeremy Paul Wright	True
Jeremy Wright	Sir Jeremy Paul Wright	True
Cassius Dio	Dio Cassius	True
William Cullen, Baron Cullen of Whitekirk	William Douglas Cullen, Baron Cullen of Whitekirk	True
Peter Singer	Peter A. D. Singer	True
Peter Singer	Peter Albert David Singer	True
Lho Shin-yong	Roh Shin-yeong	True
David Turpie	David Battle Turpie	True
O. P. Jindal	Om Prakash Jindal	True
Gordon Banks	Gordon Raymond Banks	True
Emmeline Pankhurst	Emmeline Goulden	True
Nicolai Henrik Knudtzon	Nicolay Heinrich Knudtzon III	True
Anni Sinnemäki	Anni Milja Maaria Sinnemäki	True
Eleanor of Austria	Archduchess Eleanor [House of Habsburg] of Castile	True
Julia Grant	Julia Dent Grant	True
Vasyl Kochubey	Vasily Kochubey	True
Antonín Novotný	Antonin Novotny	True
Alexei Navalny	Navalny	True
James I of Aragon	Chaime lo Conqueridor	True
James I of Aragon	el Conqueridor Jaume	True
James I of Aragon	el Conqueridor Jaume I	True
James I of Aragon	el Conquistador Jaime	True
James I of Aragon	el Conquistador Jaume	True
James I of Aragon	Jacme lo Conquistaire	True
James I of Aragon	Jaime El Conquistador	True
James I of Aragon	James I Hijo de Serena Ador	True
James I of Aragon	James I the Conqueror	True
James I of Aragon	James The Conqueror	True
James I of Aragon	Jaume El Conqueridor	True
James I of Aragon	Jaume X el meuca	True
James I of Aragon	King James I of Aragon	True
James I of Aragon	King of Aragon Jacques I	True
James I of Aragon	King of Aragon Jaime I	True
James I of Aragon	King of Aragon James I	True
James I of Aragon	King of Aragon Jaume I	True
James I of Aragon	Rey de Aragon Jaime I	True
James I of Aragon	Rey de Aragón Jaime I	True
James I of Aragon	roi d'Aragon Jacques I	True
James I of Aragon	the Conqueror James	True
Elisabeta Lipă	Elisabeta Oleniuc	True
Louise Lake-Tack	Dame Louise Agnetha Lake-Tack	True
Bibiana Aído	Bibiana Aido	True
Nikolay Morozov	Nikolay Aleksandrovich Morozov	True
Simon Wright	Simon James Wright	True
Nikolay Morozov	Nikolai Alexandrovich Morozov	True
Mikhail Prokhorov	Mikhail Dmitriyevich Prokhorov	True
Iain Wright	Iain David Wright	True
Mamie Eisenhower	Mamie Doud	True
Mamie Eisenhower	Mamie Doud Eisenhower	True
Mamie Eisenhower	Mamie Geneva Doud	True
Mamie Eisenhower	Mamie Geneva Doud Eisenhower	True
Helen Zille	Otta Helene Maree	True
Olga Lyubatovich	Olga Spiridonovna Lyubatovich	True
Lou Henry Hoover	Lou Henry	True
Lou Henry Hoover	Lou Hoover	True
Guto Bebb	Guto ap Owain Bebb	True
Tatyana Golikova	Tatiana Alexeyevna Golikova	True
Tatyana Golikova	Tatyana Alekseyevna Golikova	True
Stephen Barclay	Steve Barclay	True
Mikhail Prokhorov	Mikhail Dmitrievich Prokhorov	True
Mikhail Prokhorov	Mikhail Dmitrievitch Prokhorov	True
Iveta Radičová	Iveta Karafiátová	True
Sir George Stokes, 1st Baronet	George Gabriel Stokes	True
Sir George Stokes, 1st Baronet	George Stokes	True
Sir George Stokes, 1st Baronet	Sir George Gabriel Stokes	True
Sir George Stokes, 1st Baronet	Sir George Gabriel Stokes, 1st Baronet	True
Sir George Stokes, 1st Baronet	Sir George Stokes	True
Michalis Chrisochoidis	Michales Chrysochoides	True
Michalis Chrisochoidis	Michalis Chrysochoidis	True
Richard Di Natale	Richard Luigi Di Natale	True
Jules Bordet	Jules Jean Baptiste Vincent Bordet	True
Hugh Bayley	Sir Hugh Nigel Edward Bayley	True
Princess Louise of Prussia	Princess Louise Marie Elisabeth of Prussia	True
Stephen Barclay	Stephen Paul Barclay	True
Stephen Barclay	Steve Barclay MP	True
Levy Mwanawasa	Levy Patrick Mwanawasa	True
Margaret Beckett	Dame Margaret Mary Beckett	True
Louise Hippolyte I, Princess of Monaco	Louise Hippolyte	True
Louise Hippolyte I, Princess of Monaco	Louise Hippolyte Grimaldi	True
Louise Hippolyte I, Princess of Monaco	Princess Louise Hippolyte I, Princess of Monaco	True
Louise Hippolyte I, Princess of Monaco	Princess Louise Hippolyte, Princess of Monaco	True
Aleksandr Khvostov	Aleksandr Alekseevich Khvostov	True
Aleksandr Khvostov	Aleksandr Alekseyevich Khvostov	True
Anne Begg	Dame Margaret Anne Begg	True
Kevin Barron	Sir Kevin John Barron	True
Shaukat Hussein Mazari	Shaukat Hussein Khan Mazari	True
Anthemius	Procopius Anthemius	True
James I of Aragon	King James I	True
James I of Aragon	King James	True
Alan Beith	Alan Beith, Baron Beith	True
Alan Beith	Alan James Beith, Baron Beith	True
Harriett Baldwin	Harriett Mary Morison Baldwin	True
Duqaq	Abu Nasr Shams al-Muluk Duqaq	True
Mihály Ráday	Mihaly Raday	True
Irina Rodnina	Irina Konstantinovna Rodnina	True
Constans	Constans I	True
Constans	Flavius Julius Constans	True
Constans	Flavius Julius Constans Augustus	True
Lady Bird Johnson	Claudia Johnson	True
Horace R. Kornegay	Horace Robinson Kornegay	True
Pita Sharples	Papa Pita	True
Pita Sharples	Peter Russell Sharples	True
Pita Sharples	Pita Russell Sharples	True
Pita Sharples	Sir Pita Russell Sharples	True
Pita Sharples	Sir Pita Sharples	True
Pita Sharples	Tā Pita Sharples	True
Lady Bird Johnson	"Claudia Alta ""Lady Bird"" Taylor Johnson"	True
Lady Bird Johnson	Claudia Alta Taylor	True
Lady Bird Johnson	Claudia Taylor Johnson	True
Lady Bird Johnson	Lady Bird Taylor Johnson	True
Gregory Barker	Gregory Leonard George Barker, Baron Barker of Battle	True
Gregory Barker	Lord Barker of Battle	True
Isabella II of Jerusalem	Isabella of Brienne	True
Archduke Franz Karl of Austria	Archduke Franz Karl Joseph of Austria	True
Philip Noel-Baker, Baron Noel-Baker	Philip Baker	True
Ferenc Szálasi	Ferenc Szalasi	True
Ladislaus IV of Hungary	Ladislaus IV	True
Isabella II of Jerusalem	Isabella II	True
Svetlana Khorkina	Svetlana Vasilyevna Khorkina	True
Philip Noel-Baker, Baron Noel-Baker	Philip Noel-Baker	True
Anna of Austria, Queen of Spain	Anna of Austria	True
Anna of Austria, Queen of Spain	Anna of Austria (1549-1580)	True
Anna of Austria, Queen of Spain	Anne of Austria	True
Knut Agathon Wallenberg	Knut Agaton Wallenberg	True
Gordon Towers	Thomas Gordon Towers	True
John Kenneth Galbraith	John K. Galbraith	True
Mário Sottomayor Cardia	Mario Sottomayor Cardia	True
Akbar Hashemi Rafsanjani	Ali Akhbar Hashemi-Rafsanjani	True
Akbar Hashemi Rafsanjani	Hashemi Rafsanjani	True
Philip Noel-Baker, Baron Noel-Baker	Baron Noel-Baker	True
Philip Noel-Baker, Baron Noel-Baker	Philip John Baker	True
Philip Noel-Baker, Baron Noel-Baker	Philip John Noel-Baker	True
Philip Noel-Baker, Baron Noel-Baker	Philipp John Noel-Baker	True
Christina of Schleswig-Holstein-Gottorp	Christina of Holstein-Gottorp	True
Andrea Doria (admiral)	Andrea Doria	True
Pita Sharples	Peter Sharples	True
Feodor I of Russia	Feodor I Ioannovich	True
Feodor I of Russia	Feodor Ivanovich	True
Feodor I of Russia	Feodor the Bellringer	True
Feodor I of Russia	Fyodor I Ivanovich	True
Feodor I of Russia	Theodore I Ivanovich	True
Yehudi Menuhin	Yehudi Menuhin, Baron Menuhin	True
Lady Bird Johnson	Lady Bird	True
Lady Bird Johnson	Claudia Taylor	True
Archduke Franz Karl of Austria	Franz Karl	True
Quintillus	M. Aurelius Claudius Quintillus	True
Quintillus	Marcus Aurelius Claudius Quintillus	True
Kliment Voroshilov	Kliment Yefremovich Voroshilov	True
Gregory Barker	Greg Barker	True
Inessa Armand	Elena Blonina	True
Inessa Armand	Inessa Fedorovna	True
Inessa Armand	Inessa Fyodorovna Armand	True
Inessa Armand	Inessa-Elizaveta Armand	True
Patty Duke	Anna Marie Duke	True
Patty Duke	Anna Marie-Pearce	True
Patty Duke	Patty Duke Astin	True
Patty Duke	Patty Duke Austin	True
David Winnick	David Julian Winnick	True
Alexander Kolchak	Aleksandr Vasil'evič Kolčak	True
Alexander Kolchak	Aleksandr Vasil'evich Kolchak	True
Alexander Kolchak	Aleksandr Vasilyevich Kolchak	True
Alexander Kolchak	Alexander Vasilyevich Kolchak	True
Margherita Sarfatti	Margherita Grassini	True
Margherita Sarfatti	Margherita Grassini Sarfatti	True
Cartimandua	Cartismandua	True
Jean-Jacques Dessalines	Dessalines，Jean-Jacques	True
Jean-Jacques Dessalines	Jacques I	True
Jean-Jacques Dessalines	Jacques I of Haiti	True
Jean-Jacques Dessalines	Jean Jacques Dessalines	True
József Irinyi	Jozsef Irinyi	True
Grażyna Gęsicka	Grazyna Gesicka	True
Izabela Jaruga-Nowacka	Izabela Walentyna Jaruga-Nowacka	True
Probus	Imperator Caesar M. Aurelius Probus Augustus	True
Probus	Marcus Aurelius Probus	True
Probus	Marcus Aurelius Valerius Probus	True
Prince Friedrich Wilhelm of Prussia	Friedrich Wilhelm	True
Anniken Huitfeldt	Anniken Scharning Huitfeldt	True
Gennady Novitsky	Gennady Vasilyevich Novitsky	True
Gilbert du Motier, Marquis de Lafayette	Gilbert du Motier	True
Gilbert du Motier, Marquis de Lafayette	Gilbert du Motier de La Fayette	True
Gilbert du Motier, Marquis de Lafayette	Gilbert du Motier, Marquis de La Fayette	True
Gilbert du Motier, Marquis de Lafayette	Gilbert du, Marquis de Lafayette Motier	True
Gilbert du Motier, Marquis de Lafayette	Lafayette	True
Gilbert du Motier, Marquis de Lafayette	Le Héros des Deux Mondes	True
Gilbert du Motier, Marquis de Lafayette	Marie Joseph Paul Yves Roch Gilbert du Motier	True
Gilbert du Motier, Marquis de Lafayette	Marie-Joseph Paul Yves Roch Gilbert du Motier	True
Gilbert du Motier, Marquis de Lafayette	Marie-Joseph Paul Yves Roch Gilbert du Motier, Marquis de La Fayette	True
Gilbert du Motier, Marquis de Lafayette	Marquis de La Fayette	True
Gilbert du Motier, Marquis de Lafayette	Marquis de Lafayette	True
Gilbert du Motier, Marquis de Lafayette	Michel de Lafayette	True
Gilbert du Motier, Marquis de Lafayette	Michel Louis Christophe Roch Gilbert Motier, marquis de La Fayette	True
Gilbert du Motier, Marquis de Lafayette	The Hero of the Two Worlds	True
Friedrich Wilhelm von Prittwitz und Gaffron	Karl Maximilian Friedrich-Wilhelm von Prittwitz und Gaffron	True
S. R. Nathan	S R Nathan	True
S. R. Nathan	Sellapan Ramanathan	True
S. R. Nathan	SR Nathan	True
Getúlio Vargas	Getulio Vargas	True
Jean Thiriart	Jean François Thiriart	True
Jean Thiriart	Jean-François Thiriart	True
Sophia Alekseyevna of Russia	Sofya Alekseyevna Romanova	True
Sophia Alekseyevna of Russia	Sophia Alekseyevna	True
Sophia Alekseyevna of Russia	Sophia Alexiovna Romanov	True
Shaun Woodward	Shaun Anthony Woodward	True
Folke Bernadotte	Folke Bernadotte, Count of Wisborg	True
Eurydice of Egypt	Eurydice	True
Prince Friedrich Wilhelm of Prussia	Friedrich Wilhelm of Prussia	True
Adolf Erik Nordenskiöld	A. E. Nordenskioeld	True
Adolf Erik Nordenskiöld	Adolf Nordenskiöld	True
Adolf Erik Nordenskiöld	Erik Nordenskiöld	True
Adolf Erik Nordenskiöld	Nils Adolf Erik Nordenskioeld	True
Adolf Erik Nordenskiöld	Nils Adolf Erik Nordenskiöld	True
Adolf Erik Nordenskiöld	Nordensk.	True
Adolf Erik Nordenskiöld	Nordenskiöld A E	True
Jorge Semprún	Jorge Semprun	True
Jorge Semprún	Jorge Semprun Maura	True
Jorge Semprún	Jorge Semprún Maura	True
James S. T. Stranahan	James Samuel Thomas Stranahan	True
Anna Jagiellon	Anne of Poland	True
Pedro II of Brazil	Pedro II	True
Getúlio Vargas	Getúlio Dornelles Vargas	True
Prince Friedrich Wilhelm of Prussia	Prince Friedrich Wilhelm	True
Kevin Yoder	Kevin Wayne Yoder	True
Steve Bartlett	Harry Stephen Bartlett	True
Brenda Dean, Baroness Dean of Thornton-le-Fylde	Baroness Dean of Thornton-le-Fylde	True
Brenda Dean, Baroness Dean of Thornton-le-Fylde	Brenda Dean	True
Willis A. Gorman	Willis Arnold Gorman	True
Willis A. Gorman	Willis Gorman	True
Vittorio Marzotto	Vittorio Emanuele Marzotto	True
Pete Wishart	Peter Wishart	True
Archduchess Maria Isabella, Countess of Trapani	Maria Isabella	True
Blanche of Navarre, Countess of Champagne	Blanca de Navarre, Regent of Champagne	True
Blanche of Navarre, Countess of Champagne	Blanche de Navarre	True
Blanche of Navarre, Countess of Champagne	Blanche, de Navarre, comtesse de Champagne	True
Blanche of Navarre, Countess of Champagne	Blanche, of Champagne, Lady	True
Blanche of Navarre, Countess of Champagne	Lady Blanche, of Champagne	True
John Lyly	John Lilly	True
John Lyly	John Lily	True
John Lyly	John Lylie	True
John Lyly	John Lylly	True
Mike Wood	Michael Roy Wood	True
Sophia Albertina of Sweden	Princess Sophia Albertina of Sweden	True
Yuriko Koike	Koike Yuriko	True
Ali Bey Al-Kabir	Bulut Kapan	True
Ali Bey Al-Kabir	Bulutkapan Ali Bey	True
Shaker al-Abssi	Abu Yusuf Shaker Yusuf Hasan al-Absi	True
Shaker al-Abssi	Shaker Abssi	True
Louis I of Spain	King of Spain Louis I	True
Louis I of Spain	King of Spain Luis I	True
Louis I of Spain	König Luis I. Spanien	True
Louis I of Spain	Luis I de Borbón, Rey de España	True
Louis I of Spain	re di Spagna Luis I	True
Louis I of Spain	Rey de España Luis I	True
Louis I of Spain	roi d'Espagne Louis I	True
Margrete Auken	Margrete Helle Auken	True
Frank Vandenbroucke	Frank Ignace Georgette Vandenbroucke	True
Chang Myon	Jitae	True
Faisal I of Iraq	Faisal I	True
Samuel R. Peters	Samuel Peters	True
John Woodcock	John Zak Woodcock	True
Faisal I of Iraq	Faisal bin Husain	True
Faisal I of Iraq	Faisal bun Hussein	True
Faisal I of Iraq	Faisal I bin Al-Hussein bin Ali Al-Hashemi	True
Jorge Sampaio	Jorge Fernando Branco de Sampaio	True
Nikolai Bukharin	Nikolay Bukharin	True
Nikolai Bukharin	Nikolay Ivanovich Bukharin	True
Oleh Blokhin	Oleg Blokhin	True
Louise of Mecklenburg-Strelitz	Duchess Louise of Mecklenburg-Strelitz	True
Louise of Mecklenburg-Strelitz	Queen of Prussia	True
Chang Myon	Chang Myŏn	True
Chang Myon	Chang Myun	True
Chang Myon	Chitae	True
Chang Myon	Jang Myeon	True
Chang Myon	John Myon Chang	True
Chang Myon	John Myun Chang	True
Chang Myon	Tamaoka Tsutomu	True
Chang Myon	Unseok	True
Chang Myon	Unsŏk	True
Philolaus	Philolaus of Croton	True
Samuel R. Peters	Samuel Ritter Peters	True
Archduchess Maria Isabella, Countess of Trapani	Maria Isabella d'Asburgo-Toscana	True
Mário Soares	Mario Soares	True
